post_title,sku
0.5W-13V,36874416
0.5W-6V8,19670291
0001.2508,20864381
0001.2515,20162069
0001.2516,39897012
0031.1081,20873651
0031.2308,20897603
0034.2526,51785457
0034.6007,20864780
0215005.HXP,19605440
0215010.HXP,19113344
0215020.MXP,20865044
0217002.HXP,20865116
02173.15HXP,20606882
0218001.HXP,20866406
0218005.TXP,20866475
0218010.HXP,20693051
0230002.DRT1P,51048888
0234002.MXP,20866565
0234008.MXP,20866727
023403.5MXP,20866826
0297002.WXNV,20866949
0297015.WXNV,20867075
0312004.HXP,36170793
0312005.HXP,23537789
0312008.HXP,23537876
0312010.HXP,44900507
031202.5HXP,20867363
0314010.HXP,20867582
0314012.HXP,44900648
0314025.HXP,44901092
0314030.HXP,20867657
0443.500DR,20867753
0454007.MR,20867828
0473002.mrt1l,34258419
06035A120JAT2A,34906086
06036D105KAT2A,19122119
0603B104K500CT,19122209
0603ZD106MAT2A,19122272
08053D224KAT2A,19122407
08055A102JAT2A,33856566
0805YC334KAT2A,19122488
09120083001,19334426
09330102716,35436099
09330242701,19349774
094.91.3,20897774
095.01,20897879
09503061,35436612
09670008267,19351280
097.01,20897951
"1,5K 4W",38168247
1-2199298-2,25654598
1-66504-0,35438511
1-826632-0,35439102
1-966067-4,35439570
1-966067-7,19352771
1-966067-9,19352966
1.5KE150CA-DIO,31871504
1.5KE180A-DIO,19670903
1.5KE180CA,19671005
1.5KE18A,19671077
1.5KE220CA-DIO,50246073
1.5KE300CA-DIO,36889218
1.5KE30CA,19671464
1.5KE39A,19671728
1.5KE400A,30078938
1.5KE6.8A-B-LF,19671986
"1/4W 110K",38169240
1/4W180R,38171442
1/4W2.2K,38171772
1/4W2.4K,38171922
1/4W270R,38169528
1/4W3.9K,38172498
1/4W39K,38173440
1/4W5.1K,32639255
1/4W510R,38176164
1/4W51R,38176275
1/4W75R,38176734
1/4W82K,38170797
1/4W9.1K,38176872
1/4W910K,38177556
1/4W91K,38179641
1/4W91R,38171004
1/4WS15R,38182413
1/4WS3K3,38182134
1/4WS68R,38265468
10.00M-HC49-S,38052468
10.00M-SMDHC49S,38052642
10.70M-HC49,38054151
100/200,20930804
1005.1105,39915759
10118193-0001LF/C,44696934
1023087-1,19166867
102387-1,35489742
1069-PRO-RT,32295719
1069-PRO-SW,32295944
10DZ10,19672355
12-03BFFA-SL8001,19354028
12-08BFFA-SL8001,19354097
12.000MEEQ-T,38054439
12.00M-HC49SR,37463526
12106D107KAT2A,19123037
1292.1401,31398575
1301.9314,41585391
1352.0101,18988802
14.7456M-HC49-S,38054655
14.74M-SMDHC49S,38054868
150141RS66130,41592207
15EDGK-3.5/10P,35440524
15EDGK-3.5/2P,47275143
15EDGK-3.5/3P,35440839
15EDGK-3.5/4P,32904362
15EDGK-3.5/8P,35440968
15EDGK3.81-03P,35441124
15EDGK3.81-05P,19355225
15EDGRC-3.5/2P,35441436
15EDGRC-3.5/3P,19355435
15EDGRC3.81-04P,19355657
15EDGRC3.81-06P,35441970
15EDGVC-3.5-03P,19355936
15EDGVC3.5-04P,19356017
15EDGVC3.81-08P,41113383
16.00M-SMDXT324,38055276
16.384M-HC49-S,38055132
160MT160,42520716
1776275-2,19356164
183024-1,19356470
189020.6.3,53122326
19050353,37446729
19620005057,19356686
1N4007-13-DIO,36020508
1N4007-DIO,31698665
1N4148-DIO,32708516
1N4148WS-E3-08,33856437
1N4148WS-G3-08,41586171
1N5337B,30031655
1N5341B,19672718
1N5346B-DIO,19673330
1N5351BG,36896652
1N5362B-DIO,19673483
1N5363B-DIO,36897177
1N5365B-DIO,36897309
1N5373B-DIO,19673582
1N5377B-DIO,36897606
1N5388BRLG,19673684
1N5819-DIO,19673786
1N5822-DC,44414331
1SMB5918BT3G,36898530
1SMB5926BT3G,19673969
1W-100K-1%,53039916
1W-10R-1%,37737489
1W-130K,38266218
1W-150R,38266287
1W-150R-1%,38266329
1W-18R,38266359
1W-1K5-1%,38266470
1W-220K-1%,53044350
1W-220R-1%,38266536
1W-2K-1%,38266596
1W-330K,53045394
1W-390R,38266671
1W-390R-1,38266737
1W-3K3,53041992
1W-470R-1%,38266788
1W-4R7,52539813
1W-560R-1%,38266863
1W-5R6,37705077
1W-6K8-1%,31710881
1W-6R8,38267004
1W-8K2-1%,31711172
2-520335-2,19356776
20/200,20930858
200856,35522682
200MSACMK1STD,34224501
2061-601/998-404,19356974
215297-8,20899238
215307-6,20899307
216-201,18318266
"22.1184M HC49",38055738
221-615,45899972
24.102.1,38406045
24.102.2,38405859
