product_code,status
CBB61,✅ Success
CBM-RD,✅ Success
CCPF022K1206,✅ Success
CCPF2.7K0805,✅ Success
CCPF220K0805,✅ Success
CCPF4.7K0805,✅ Success
CCPF680K0805,✅ Success
CCPF680K1206,✅ Success
CDB408E,✅ Success
CDB476E,✅ Success
CLW-0606-W2E-ER,✅ Success
CR0603E012-1,✅ Success
CR0603K001-1,✅ Success
CR0603K001.6-1,✅ Success
CR0603K003.6-1,✅ Success
CR0603K043-1,✅ Success
CR0603K150-1,✅ Success
CR0603K470-1,✅ Success
CR0603M001,✅ Success
CR0805E008.2,✅ Success
CR0805E015-1,✅ Success
CR0805E120-1,✅ Success
CR0805E180,✅ Success
CR0805E390,✅ Success
CR0805E470-1,✅ Success
CR0805E560,✅ Success
CR0805E820-1,✅ Success
CR0805K001.2-1,✅ Success
CR0805K008.2,✅ Success
CR0805K015,✅ Success
CR0805K036,✅ Success
CR0805K047,✅ Success
CR0805K180,✅ Success
CR1206E010-1,✅ Success
CR1206E022-1,✅ Success
CR1206K002.7,✅ Success
CR1206K100-1,✅ Success
CR1206K240-1,✅ Success
CR1206K470-1,✅ Success
CR1206K680-1,✅ Success
CR1206K680,✅ Success
CRCW0805100MJPEAHR,✅ Success
CRCW080518K0FKTA,✅ Success
CSA 2MHZ,✅ Success
CT100UF16V,✅ Success
CVNF010K0603,✅ Success
CVNF100K0805,✅ Success
CVUF001K0805,✅ Success
DAT2K-SW,✅ Success
DF25LL,✅ Success
DKG15D-SW,✅ Success
DKG15P-SW,✅ Success
DKG21P-GR,✅ Success
DKM21DP-RT,✅ Success
DR M 2P 255 FM,✅ Success
DTS61N,✅ Success
DZ3V9,✅ Success
ECS-120-8-33-JGN,✅ Success
ELRA2A0310,✅ Success
ESKA522511,✅ Success
F09320,✅ Success
FDPF5N50UT,✅ Success
FIRE DUPONT MAMA - TATA 20CM,✅ Success
FIRE DUPONT TATA - TATA 20CM,✅ Success
FIRE DUPONT TATA - TATA 30CM,✅ Success
FIRE DUPONT TATA-TATA 10CM,✅ Success
FSF00.25,✅ Success
FSF00.5,✅ Success
FSF03.15,✅ Success
FSL306LRN,✅ Success
G2R1-12A,✅ Success
GP2Y0D810Z0F,✅ Success
GU-SS-112DFS,✅ Success
H2171-01,✅ Success
HFBR-4531Z,✅ Success
HSDL4420,✅ Success
HVCC203Y6P221MEAX,✅ Success
IDW80C65D1XKSA1,✅ Success
IKW50N60DTPXKSA1,✅ Success
IMC1812U001,✅ Success
IND10P-230P-W,✅ Success
JOYROOM MICRO USB,✅ Success
JS-18-K,✅ Success
LM2596S-3.3,✅ Success
LM385Z-1.2,✅ Success
LNK562DG-TL,✅ Success
LP2950CZ-5,✅ Success
LPBL25RZ,✅ Success
LPSL25RZ,✅ Success
LT1930ES5,✅ Success
LT6004IMS8,✅ Success
LTA1000HR,✅ Success
LTL911TBKS,✅ Success
LTO030F4R700JTE3,✅ Success
LTP537HR,✅ Success
LTV354T-SMD,✅ Success
M20-8761042P,✅ Success
M2113TCFW01,✅ Success
MAX9814ETD+T,✅ Success
MC34074PG,✅ Success
